audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
36,negative,18,False,negative,thetutor,2023,The Tutor
86,positive,92,True,positive,warpony,2023,War Pony
45,negative,44,False,negative,americanultra,2016,American Ultra
81,positive,84,False,positive,avengement,2019,Avengement
57,negative,58,False,negative,blastfromthepast,2009,Blast From the Past
42,negative,65,False,positive,frenchexit,2021,French Exit
58,negative,49,False,negative,howthegrinchstolechristmas,2015,How the Grinch Stole Christmas
34,negative,9,False,negative,littlefockers,2016,Little Fockers
38,negative,4,False,negative,scarymoviev,2013,Scary Movie V
87,positive,90,True,positive,thebridgesofmadisoncounty,2014,The Bridges of Madison County
45,negative,17,False,negative,thehauntinginconnecticut,2016,The Haunting in Connecticut
37,negative,58,False,negative,theinternational,2014,The International
71,positive,69,False,positive,theprinceoftides,2013,The Prince of Tides
65,positive,76,True,positive,v/h/s/99,2022,V/H/S/99
62,positive,82,True,positive,barbershop,2016,Barbershop
29,negative,11,False,negative,elektra,2013,Elektra
91,positive,,False,,ican,2023,I Can
99,positive,88,False,positive,kisstheground,2020,Kiss the Ground
49,negative,44,False,negative,marymagdalene,2019,Mary Magdalene
84,positive,93,True,positive,pointblank,2016,Point Blank
80,positive,74,True,positive,riseoftheguardians,2015,Rise of the Guardians
47,negative,62,False,positive,runsweetheartrun,2022,Run Sweetheart Run
65,positive,57,False,negative,thecraft,2014,The Craft
80,positive,83,True,positive,videodrome,2016,Videodrome
93,positive,100,True,positive,amanescaped,2017,A Man Escaped
59,negative,83,True,positive,darkman,2015,Darkman
52,negative,80,True,positive,fatherofthebride,2022,Father of the Bride
77,positive,26,False,negative,goneinsixtyseconds,2017,Gone in Sixty Seconds
87,positive,84,True,positive,grindhouse,2021,Grindhouse
57,negative,39,False,negative,insidious:chapter2,2013,Insidious: Chapter 2
80,positive,79,False,positive,killboksoon,2023,Kill Boksoon
53,negative,81,True,positive,personalshopper,2017,Personal Shopper
71,positive,81,False,positive,punch,2023,Punch
65,positive,32,False,negative,teenwolf:themovie,2023,Teen Wolf: The Movie
8,negative,,False,,thelandthattimeforgot,2018,The Land That Time Forgot
56,negative,52,False,negative,themothmanprophecies,2012,The Mothman Prophecies
77,positive,86,True,positive,thesurvivor,2022,The Survivor
62,positive,80,False,positive,undersiege,2016,Under Siege
61,positive,13,False,negative,uptowngirls,2008,Uptown Girls
49,negative,54,False,negative,wolfcreek,2016,Wolf Creek
88,positive,97,False,positive,alittleprincess,2010,A Little Princess
90,positive,96,True,positive,beautyandthebeast,2017,Beauty and the Beast
73,positive,85,True,positive,benditlikebeckham,2015,Bend It Like Beckham
53,negative,14,False,negative,beverlyhillsninja,2012,Beverly Hills Ninja
86,positive,80,True,positive,brick,2014,Brick
73,positive,83,False,positive,"godzilla,kingofthemonsters!",2014,"Godzilla, King of the Monsters!"
82,positive,94,True,positive,intheloop,2016,In the Loop
63,positive,70,True,positive,machete,2015,Machete
33,negative,55,False,negative,mercyroad,2023,Mercy Road
,,97,False,positive,queenofhearts,2019,Queen of Hearts
65,positive,83,True,positive,someonegreat,2019,Someone Great
77,positive,58,False,negative,thebestoffer,2017,The Best Offer
38,negative,31,False,negative,theboy,2016,The Boy
39,negative,38,False,negative,thebrothersgrimm,2016,The Brothers Grimm
24,negative,34,False,negative,thecounselor,2014,The Counselor
85,positive,85,True,positive,thefisherking,2008,The Fisher King
82,positive,91,False,positive,thenightcomesforus,2018,The Night Comes for Us
93,positive,96,True,positive,threecolors:blue,2017,Three Colors: Blue
68,positive,67,False,positive,anightmareonelmstreet3:dreamwarriors,2010,A Nightmare on Elm Street 3: Dream Warriors
91,positive,100,True,positive,ali:feareatsthesoul,2017,Ali: Fear Eats the Soul
17,negative,11,False,negative,cell,2016,Cell
84,positive,97,False,positive,frybreadfaceandme,2023,Frybread Face and Me
25,negative,,False,,manonfire,2017,Man on Fire
75,positive,86,True,positive,onlyloversleftalive,2015,Only Lovers Left Alive
60,positive,70,False,positive,stoker,2015,Stoker
78,positive,38,False,negative,sweethomealabama,2014,Sweet Home Alabama
67,positive,75,True,positive,theexception,2017,The Exception
43,negative,21,False,negative,thesmurfs,2014,The Smurfs
31,negative,66,False,positive,winecountry,2019,Wine Country
39,negative,25,False,negative,wishmaster,2014,Wishmaster
32,negative,67,False,positive,babyruby,2023,Baby Ruby
75,positive,73,True,positive,backdraft,2016,Backdraft
75,positive,79,True,positive,badtrip,2021,Bad Trip
57,negative,71,False,positive,becky,2020,Becky
46,negative,53,False,negative,cityofember,2013,City of Ember
74,positive,81,True,positive,clearandpresentdanger,2008,Clear and Present Danger
91,positive,70,False,positive,dancerinthedark,2012,Dancer in the Dark
43,negative,50,False,negative,devil,2015,Devil
52,negative,41,False,negative,faster,2015,Faster
33,negative,44,False,negative,interceptor,2022,Interceptor
43,negative,34,False,negative,paulblart:mallcop,2009,Paul Blart: Mall Cop
91,positive,96,True,positive,riobravo,2015,Rio Bravo
48,negative,39,False,negative,sawvi,2011,Saw VI
56,negative,,False,,splitsecond,2018,Split Second
51,negative,66,False,positive,thecampaign,2015,The Campaign
